profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,not_broken,3000,0.9897,53.82,,,,
echo,coop_rudp,not_broken,3000,0.9897,75.14,,,,
echo,enet,broken,600,0.9883,95.55,1000,delivery<0.95,0.8673,95.44
echo,gns,broken,1500,0.9900,174.05,2000,delivery<0.95,0.8461,185.57
echo,kcp,broken,200,0.9901,40.02,600,delivery<0.95,0.8549,90.90
echo,litenetlib,broken,2000,0.9872,173.95,3000,delivery<0.95,0.9402,187.71
echo,mini_rudp,broken,200,0.9902,57.63,600,aggregate_invalid:valid_runs=1/3,0.7505,99.75
echo,msquic,broken,1500,0.9870,192.85,2000,aggregate_invalid:client_tick,,
echo,raknet,broken,200,0.9790,65.68,600,delivery<0.95,0.9432,120.37
echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
echo,slikenet,broken,200,0.9824,65.37,600,delivery<0.95,0.9475,119.79
echo,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
echo,yojimbo,broken,50,0.9899,23.26,200,unsupported_conns,,
game_server,apex_rudp,not_broken,256,0.9805,75.27,,,,
game_server,coop_rudp,not_broken,256,0.9799,62.01,,,,
game_server,enet,broken,64,0.9634,61.45,96,delivery<0.95,0.9465,74.11
game_server,gns,broken,96,0.9743,97.83,128,delivery<0.95,0.8671,169.79
game_server,kcp,broken,64,0.9812,65.51,96,delivery<0.95,0.4710,94.18
game_server,litenetlib,broken,128,0.9753,74.26,192,aggregate_invalid:client_tick,,
game_server,mini_rudp,broken,5,0.9805,12.48,64,delivery<0.95,0.8643,80.13
game_server,msquic,broken,96,0.9812,153.92,128,delivery<0.95,0.7540,146.85
game_server,raknet,broken,64,0.9615,81.41,96,delivery<0.95,0.9383,96.75
game_server,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
game_server,slikenet,broken,64,0.9626,65.84,96,delivery<0.95,0.9482,89.42
game_server,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
game_server,yojimbo,broken,5,0.9780,14.51,64,delivery<0.95,0.9451,32.38
media_relay,apex_rudp,broken,125,0.9802,102.23,150,delivery<0.95,0.7695,122.62
media_relay,coop_rudp,broken,150,0.9801,70.23,200,delivery<0.95,0.7846,95.10
media_relay,enet,broken,50,0.9532,85.76,75,delivery<0.95,0.4558,95.43
media_relay,gns,broken,5,0.9761,13.75,50,delivery<0.95,0.7433,124.51
media_relay,kcp,broken,50,0.9806,77.74,75,delivery<0.95,0.4960,93.70
media_relay,litenetlib,broken,50,0.9779,102.82,75,aggregate_invalid:valid_runs=1/3,0.2875,120.07
media_relay,mini_rudp,broken,50,0.9803,78.19,75,delivery<0.95,0.4966,12.50
media_relay,msquic,broken,5,0.9812,14.41,50,delivery<0.95,0.1758,197.68
media_relay,raknet,broken,5,0.9798,13.16,50,delivery<0.95,0.7560,105.05
media_relay,raw_udp,broken,50,0.9811,74.58,75,delivery<0.95,0.4989,11.17
media_relay,slikenet,broken,5,0.9776,13.12,50,delivery<0.95,0.7545,104.97
media_relay,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
media_relay,yojimbo,broken,5,0.9671,14.67,50,delivery<0.95,0.4283,48.61
reliable_echo,apex_rudp,not_broken,3000,1.0000,35.29,,,,
reliable_echo,coop_rudp,not_broken,3000,1.0000,72.57,,,,
reliable_echo,enet,broken,1000,0.9995,95.44,1500,aggregate_invalid:valid_runs=1/3,0.0676,93.36
reliable_echo,gns,not_broken,3000,0.9959,179.07,,,,
reliable_echo,kcp,broken,1000,1.0000,91.24,1500,delivery<0.95,0.8006,90.93
reliable_echo,litenetlib,not_broken,3000,0.9917,183.31,,,,
reliable_echo,mini_rudp,broken,600,0.9912,99.46,1000,aggregate_invalid:client_tick,,
reliable_echo,msquic,broken,1000,1.0000,188.77,1500,aggregate_invalid:valid_runs=1/3,1.0000,194.77
reliable_echo,raknet,broken,600,0.9587,119.37,1000,delivery<0.95,0.9318,123.59
reliable_echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
reliable_echo,slikenet,broken,600,0.9525,119.00,1000,delivery<0.95,0.9263,123.06
reliable_echo,udt4,broken,1,1.0000,16.49,50,delivery<0.95,0.8904,41.42
reliable_echo,yojimbo,broken,50,1.0000,22.67,200,unsupported_conns,,
